"year","program","total_expenses","total_expenses_last_year","overall_expenses","%_of_total","%_YoY_change"
2006,"Air and climate protection","22753362",NULL,"878557367","0.02589855011710350839",NULL
2007,"Air and climate protection","27740091","22753362","878557367","0.03157459266971236951","0.21916449094423936120"
2008,"Air and climate protection","22527574","27740091","878557367","0.02564155153228599584","-0.18790554796665951817"
2009,"Air and climate protection","22678737","22527574","878557367","0.02581360973323896788","0.00671013221397031034"
2010,"Air and climate protection","28362339","22678737","878557367","0.03228285376155749656","0.25061369158256035158"
2011,"Air and climate protection","33565028","28362339","878557367","0.03820470837847974019","0.18343652827786876111"
2012,"Air and climate protection","32716501","33565028","878557367","0.03723888983108373389","-0.02528009212445763489"
2013,"Air and climate protection","41198630","32716501","878557367","0.04689350012587168938","0.25926149620951213579"
2014,"Air and climate protection","53340041","41198630","878557367","0.06071321350606806761","0.29470424137890022071"
2015,"Air and climate protection","62119259","53340041","878557367","0.07070597929434925562","0.16458963726705796870"
2016,"Air and climate protection","52804082","62119259","878557367","0.06010316910813633869","-0.14995634445671671647"
2017,"Air and climate protection","87473252","52804082","878557367","0.09956464459309462486","0.65656230895179656755"
2018,"Air and climate protection","51090435","87473252","878557367","0.05815264536959941058","-0.41593076932820560964"
2019,"Air and climate protection","55187614","51090435","878557367","0.06281617578195095825","0.08019463917267488523"
2020,"Air and climate protection","53815846","55187614","878557367","0.06125478884066997984","-0.02485644695565204178"
2021,"Air and climate protection","49293641","53815846","878557367","0.05610748125455079133","-0.08403110489055584112"
2022,"Air and climate protection","57993882","49293641","878557367","0.06601035308375030677","0.17649824244064259729"
2023,"Air and climate protection","67032111","57993882","878557367","0.07629793285883402080","0.15584797375695594925"
2024,"Air and climate protection","56864942","67032111","878557367","0.06472536015966274403","-0.15167609744529752315"
2006,"Energy from renewable sources","0",NULL,"0","0",NULL
2007,"Energy from renewable sources","0","0","0","0","0"
2008,"Energy from renewable sources","0","0","0","0","0"
2009,"Energy from renewable sources","0","0","0","0","0"
2010,"Energy from renewable sources","0","0","0","0","0"
2011,"Energy from renewable sources","0","0","0","0","0"
2012,"Energy from renewable sources","0","0","0","0","0"
2013,"Energy from renewable sources","0","0","0","0","0"
2014,"Energy from renewable sources","0","0","0","0","0"
2015,"Energy from renewable sources","0","0","0","0","0"
2016,"Energy from renewable sources","0","0","0","0","0"
2017,"Energy from renewable sources","0","0","0","0","0"
2018,"Energy from renewable sources","0","0","0","0","0"
2019,"Energy from renewable sources","0","0","0","0","0"
2020,"Energy from renewable sources","0","0","0","0","0"
2021,"Energy from renewable sources","0","0","0","0","0"
2022,"Energy from renewable sources","0","0","0","0","0"
2023,"Energy from renewable sources","0","0","0","0","0"
2024,"Energy from renewable sources","0","0","0","0","0"
2006,"Energy savings and energy savings management","0",NULL,"0","0",NULL
2007,"Energy savings and energy savings management","0","0","0","0","0"
2008,"Energy savings and energy savings management","0","0","0","0","0"
2009,"Energy savings and energy savings management","0","0","0","0","0"
2010,"Energy savings and energy savings management","0","0","0","0","0"
2011,"Energy savings and energy savings management","0","0","0","0","0"
2012,"Energy savings and energy savings management","0","0","0","0","0"
2013,"Energy savings and energy savings management","0","0","0","0","0"
2014,"Energy savings and energy savings management","0","0","0","0","0"
2015,"Energy savings and energy savings management","0","0","0","0","0"
2016,"Energy savings and energy savings management","0","0","0","0","0"
2017,"Energy savings and energy savings management","0","0","0","0","0"
2018,"Energy savings and energy savings management","0","0","0","0","0"
2019,"Energy savings and energy savings management","0","0","0","0","0"
2020,"Energy savings and energy savings management","0","0","0","0","0"
2021,"Energy savings and energy savings management","0","0","0","0","0"
2022,"Energy savings and energy savings management","0","0","0","0","0"
2023,"Energy savings and energy savings management","0","0","0","0","0"
2024,"Energy savings and energy savings management","0","0","0","0","0"
2006,"Landscape and biodiversity protection (species diversity)","5769709",NULL,"137942741","0.04182684031195233390",NULL
2007,"Landscape and biodiversity protection (species diversity)","4102852","5769709","137942741","0.02974315263171405301","-0.28889793228739958982"
2008,"Landscape and biodiversity protection (species diversity)","3488071","4102852","137942741","0.02528636863899927869","-0.14984235356283872779"
2009,"Landscape and biodiversity protection (species diversity)","4448313","3488071","137942741","0.03224753232937425827","0.27529313480144182845"
2010,"Landscape and biodiversity protection (species diversity)","7506675","4448313","137942741","0.05441877510611450007","0.68753300408491938405"
2011,"Landscape and biodiversity protection (species diversity)","6589520","7506675","137942741","0.04776996565553239224","-0.12217859438433127850"
2012,"Landscape and biodiversity protection (species diversity)","5668209","6589520","137942741","0.04109102776201902498","-0.13981458437033349925"
2013,"Landscape and biodiversity protection (species diversity)","5729328","5668209","137942741","0.04153410290723453146","0.01078277106578109593"
2014,"Landscape and biodiversity protection (species diversity)","6804208","5729328","137942741","0.04932632156410463092","0.18761013508041431735"
2015,"Landscape and biodiversity protection (species diversity)","6878872","6804208","137942741","0.04986758962546641001","0.01097320951975600981"
2016,"Landscape and biodiversity protection (species diversity)","4906162","6878872","137942741","0.03556665587789066769","-0.28677812292480511340"
2017,"Landscape and biodiversity protection (species diversity)","5763232","4906162","137942741","0.04177988604706644187","0.17469256009075933489"
2018,"Landscape and biodiversity protection (species diversity)","7041457","5763232","137942741","0.05104623084153445958","0.22178961388332102542"
2019,"Landscape and biodiversity protection (species diversity)","9914847","7041457","137942741","0.07187654042629180466","0.40806753488660088388"
2020,"Landscape and biodiversity protection (species diversity)","8806382","9914847","137942741","0.06384085118331815663","-0.11179849774787245834"
2021,"Landscape and biodiversity protection (species diversity)","9302992","8806382","137942741","0.06744096813329234918","0.05639205748739947915"
2022,"Landscape and biodiversity protection (species diversity)","10569749","9302992","137942741","0.07662417698369499559","0.13616662252316244064"
2023,"Landscape and biodiversity protection (species diversity)","11085200","10569749","137942741","0.08036087959133710414","0.04876662634089040336"
2024,"Landscape and biodiversity protection (species diversity)","13566963","11085200","137942741","0.09835213438306260711","0.22388075993216180132"
2006,"Limitation of noise and vibration (except workplace protection)","4087689",NULL,"60336973","0.06774766443785637042",NULL
2007,"Limitation of noise and vibration (except workplace protection)","4167241","4087689","60336973","0.06906612633683164716","0.01946136313207780729"
2008,"Limitation of noise and vibration (except workplace protection)","3379022","4167241","60336973","0.05600251109713442204","-0.18914648804808745163"
2009,"Limitation of noise and vibration (except workplace protection)","2541043","3379022","60336973","0.04211419422714493815","-0.24799453806456424374"
2010,"Limitation of noise and vibration (except workplace protection)","3935933","2541043","60336973","0.06523252334849479439","0.54894387855695476228"
2011,"Limitation of noise and vibration (except workplace protection)","2939715","3935933","60336973","0.04872161883228712849","-0.25310847516967387402"
2012,"Limitation of noise and vibration (except workplace protection)","3387853","2939715","60336973","0.05614887243349115309","0.15244266876210789141"
2013,"Limitation of noise and vibration (except workplace protection)","1461116","3387853","60336973","0.02421593141571752365","-0.56871918586786380637"
2014,"Limitation of noise and vibration (except workplace protection)","4704208","1461116","60336973","0.07796559499264240518","2.2195992652191886"
2015,"Limitation of noise and vibration (except workplace protection)","3028678","4704208","60336973","0.05019605474739344315","-0.35617685272419927010"
2016,"Limitation of noise and vibration (except workplace protection)","2621822","3028678","60336973","0.04345299191591861925","-0.13433451822874534698"
2017,"Limitation of noise and vibration (except workplace protection)","2650856","2621822","60336973","0.04393418940655176719","0.01107397832499689147"
2018,"Limitation of noise and vibration (except workplace protection)","4213325","2650856","60336973","0.06982990346565778167","0.58942054943761562303"
2019,"Limitation of noise and vibration (except workplace protection)","2358037","4213325","60336973","0.03908112858097803481","-0.44033821269424979084"
2020,"Limitation of noise and vibration (except workplace protection)","3377099","2358037","60336973","0.05597064009160684942","0.43216539859213405048"
2021,"Limitation of noise and vibration (except workplace protection)","2541780","3377099","60336973","0.04212640895989263499","-0.24734809373370457899"
2022,"Limitation of noise and vibration (except workplace protection)","3995733","2541780","60336973","0.06622362378039746873","0.57202157543139060029"
2023,"Limitation of noise and vibration (except workplace protection)","2829134","3995733","60336973","0.04688889513897225172","-0.29196119960968363001"
2024,"Limitation of noise and vibration (except workplace protection)","2116689","2829134","60336973","0.03508112679103076649","-0.25182440987242032368"
2006,"Other environmental protection activities","2734788",NULL,"193300417","0.01414786394382170422",NULL
2007,"Other environmental protection activities","2676962","2734788","193300417","0.01384871301131233462","-0.02114460060523887044"
2008,"Other environmental protection activities","2829621","2676962","193300417","0.01463846298893395558","0.05702695817124038369"
2009,"Other environmental protection activities","3385574","2829621","193300417","0.01751457163178287401","0.19647613584999545876"
2010,"Other environmental protection activities","10672152","3385574","193300417","0.05521018612184369990","2.1522430169891428"
2011,"Other environmental protection activities","11593223","10672152","193300417","0.05997515773595046099","0.08630602337747813187"
2012,"Other environmental protection activities","11815496","11593223","193300417","0.06112504144261623605","0.01917266665188791762"
2013,"Other environmental protection activities","14595468","11815496","193300417","0.07550665552883934027","0.23528187051986645334"
2014,"Other environmental protection activities","12660138","14595468","193300417","0.06549462332510125935","-0.13259800919025001459"
2015,"Other environmental protection activities","12553103","12660138","193300417","0.06494089973949719933","-0.00845448920067064040"
2016,"Other environmental protection activities","10353791","12553103","193300417","0.05356321088536503261","-0.17520066552469138507"
2017,"Other environmental protection activities","10408786","10353791","193300417","0.05384771622091223942","0.00531158104311744365"
2018,"Other environmental protection activities","12732410","10408786","193300417","0.06586850767114485842","0.22323679245591176531"
2019,"Other environmental protection activities","11502468","12732410","193300417","0.05950565538614435581","-0.09659930837916780877"
2020,"Other environmental protection activities","10836651","11502468","193300417","0.05606118790731837894","-0.05788470787312774963"
2021,"Other environmental protection activities","10196881","10836651","193300417","0.05275146923247454764","-0.05903761226600358358"
2022,"Other environmental protection activities","12408460","10196881","193300417","0.06419261889124636498","0.21688779147270621281"
2023,"Other environmental protection activities","16482790","12408460","193300417","0.08527032820627593369","0.32835097989597419825"
2024,"Other environmental protection activities","12861655","16482790","193300417","0.06653713012941922417","-0.21969187255312965827"
2006,"Protection and rehabilitation of soil, underground and surface water","20928836",NULL,"463201736","0.04518298264754344530",NULL
2007,"Protection and rehabilitation of soil, underground and surface water","15692454","20928836","463201736","0.03387822795206449744","-0.25019938997085169954"
2008,"Protection and rehabilitation of soil, underground and surface water","18745829","15692454","463201736","0.04047011818625826566","0.19457600449235027230"
2009,"Protection and rehabilitation of soil, underground and surface water","21142777","18745829","463201736","0.04564485699595909977","0.12786567081135755586"
2010,"Protection and rehabilitation of soil, underground and surface water","19912064","21142777","463201736","0.04298788724746921069","-0.05820961929457043415"
2011,"Protection and rehabilitation of soil, underground and surface water","27426941","19912064","463201736","0.05921165416357593271","0.37740321646214074041"
2012,"Protection and rehabilitation of soil, underground and surface water","25415079","27426941","463201736","0.05486827234170814938","-0.07335349574711959310"
2013,"Protection and rehabilitation of soil, underground and surface water","28140581","25415079","463201736","0.06075232196452735229","0.10723956435468880502"
2014,"Protection and rehabilitation of soil, underground and surface water","23589853","28140581","463201736","0.05092781647087782072","-0.16171407406264995026"
2015,"Protection and rehabilitation of soil, underground and surface water","23696645","23589853","463201736","0.05115836828383562017","0.00452703117734561551"
2016,"Protection and rehabilitation of soil, underground and surface water","18719383","23696645","463201736","0.04041302427243061973","-0.21004078847448657816"
2017,"Protection and rehabilitation of soil, underground and surface water","22052297","18719383","463201736","0.04760840749526033728","0.17804614607222898319"
2018,"Protection and rehabilitation of soil, underground and surface water","28411466","22052297","463201736","0.06133713194891825708","0.28836764714351525376"
2019,"Protection and rehabilitation of soil, underground and surface water","22506329","28411466","463201736","0.04858861107549907801","-0.20784344602281346552"
2020,"Protection and rehabilitation of soil, underground and surface water","26831164","22506329","463201736","0.05792543920863025436","0.19216083618079163421"
2021,"Protection and rehabilitation of soil, underground and surface water","28355896","26831164","463201736","0.06121716262306927105","0.05682690471423453712"
2022,"Protection and rehabilitation of soil, underground and surface water","32103595","28355896","463201736","0.06930801960552237654","0.13216648135541193972"
2023,"Protection and rehabilitation of soil, underground and surface water","33329649","32103595","463201736","0.07195493110155355722","0.03819055155660915857"
2024,"Protection and rehabilitation of soil, underground and surface water","26200898","33329649","463201736","0.05656476641529685459","-0.21388617083846277529"
2006,"Radiation protection","2887432",NULL,"25113580","0.11497492591657581277",NULL
2007,"Radiation protection","674686","2887432","25113580","0.02686538518204095155","-0.76633700810962820943"
2008,"Radiation protection","203037","674686","25113580","0.00808474936667731164","-0.69906445368660384238"
2009,"Radiation protection","4932","203037","25113580","0.00019638777107843645","-0.97570886094652698769"
2010,"Radiation protection","1444683","4932","25113580","0.05752596802208207671","291.9203163017031630"
2011,"Radiation protection","678315","1444683","25113580","0.02700988867377729499","-0.53047485157643579941"
2012,"Radiation protection","16225","678315","25113580","0.00064606479840787335","-0.97608043460634071191"
2013,"Radiation protection","365209","16225","25113580","0.01454229146143242023","21.5090292758089368"
2014,"Radiation protection","1736263","365209","25113580","0.06913641941929426231","3.7541626849283561"
2015,"Radiation protection","1867358","1736263","25113580","0.07435650353314820109","0.07550411429604846731"
2016,"Radiation protection","1638264","1867358","25113580","0.06523418803691070727","-0.12268349186390611763"
2017,"Radiation protection","2314334","1638264","25113580","0.09215468284489905462","0.41267463607819008414"
2018,"Radiation protection","2123383","2314334","25113580","0.08455118704700803310","-0.08250796989544292224"
2019,"Radiation protection","1115146","2123383","25113580","0.04440410327798744743","-0.47482578507975245163"
2020,"Radiation protection","1135049","1115146","25113580","0.04519662270373240295","0.01784788718248552208"
2021,"Radiation protection","1566120","1135049","25113580","0.06236147932712102376","0.37978184201739308171"
2022,"Radiation protection","758548","1566120","25113580","0.03020469403406443844","-0.51565141879294051541"
2023,"Radiation protection","3878738","758548","25113580","0.15444783260690033042","4.1133718630857902"
2024,"Radiation protection","705858","3878738","25113580","0.02810662597686192092","-0.81801864420850286872"
2006,"Research and development for environmental protection","214031",NULL,"12671833","0.01689029519249503998",NULL
2007,"Research and development for environmental protection","180157","214031","12671833","0.01421712233739191481","-0.15826679312809826614"
2008,"Research and development for environmental protection","163221","180157","12671833","0.01288061482502176283","-0.09400689398691141615"
2009,"Research and development for environmental protection","195851","163221","12671833","0.01545561719445008469","0.19991300139075241544"
2010,"Research and development for environmental protection","621068","195851","12671833","0.04901169388832696896","2.1711249878734344"
2011,"Research and development for environmental protection","883382","621068","12671833","0.06971225078487066551","0.42235954839083643015"
2012,"Research and development for environmental protection","1178118","883382","12671833","0.09297139569310927630","0.33364501427468524376"
2013,"Research and development for environmental protection","1070993","1178118","12671833","0.08451760688449729412","-0.09092892223020104947"
2014,"Research and development for environmental protection","1701055","1070993","12671833","0.13423906391443132181","0.58829702901886380210"
2015,"Research and development for environmental protection","1514724","1701055","12671833","0.11953471924701027862","-0.10953849228860912786"
2016,"Research and development for environmental protection","622544","1514724","12671833","0.04912817269608903463","-0.58900499364900800410"
2017,"Research and development for environmental protection","577347","622544","12671833","0.04556144324187353164","-0.07260049088899740420"
2018,"Research and development for environmental protection","769401","577347","12671833","0.06071741949250751647","0.33264916939033198406"
2019,"Research and development for environmental protection","325717","769401","12671833","0.02570401614352083081","-0.57666158479128568848"
2020,"Research and development for environmental protection","260217","325717","12671833","0.02053507176112563983","-0.20109481543794152593"
2021,"Research and development for environmental protection","304065","260217","12671833","0.02399534463561822508","0.16850551654964894684"
2022,"Research and development for environmental protection","513181","304065","12671833","0.04049777171148009921","0.68773453044579284035"
2023,"Research and development for environmental protection","1123490","513181","12671833","0.08866041716301027641","1.1892665550751100"
2024,"Research and development for environmental protection","453271","1123490","12671833","0.03576996319317023828","-0.59655092613196379140"
2006,"Waste management","110993103",NULL,"5188776832","0.02139099571896947600",NULL
2007,"Waste management","145820871","110993103","5188776832","0.02810313022150034145","0.31378317263551051456"
2008,"Waste management","195539728","145820871","5188776832","0.03768512971960479182","0.34095844208748417090"
2009,"Waste management","177925759","195539728","5188776832","0.03429050135721851758","-0.09007872303064674407"
2010,"Waste management","236923933","177925759","5188776832","0.04566084467901046934","0.33158871616784841143"
2011,"Waste management","267423804","236923933","5188776832","0.05153889108330030410","0.12873275660167265584"
2012,"Waste management","243915250","267423804","5188776832","0.04700823679595091131","-0.08790748485501313114"
2013,"Waste management","247214201","243915250","5188776832","0.04764402266742159243","0.01352498869996853415"
2014,"Waste management","266606244","247214201","5188776832","0.05138132793759745187","0.07844226958466678053"
2015,"Waste management","238886530","266606244","5188776832","0.04603908353250988305","-0.10397248610576427460"
2016,"Waste management","238256620","238886530","5188776832","0.04591768497936432353","-0.00263685859558510896"
2017,"Waste management","264290620","238256620","5188776832","0.05093505243279655470","0.10926873721284218671"
2018,"Waste management","290519930","264290620","5188776832","0.05599006074193017057","0.09924419565098451091"
2019,"Waste management","292556382","290519930","5188776832","0.05638253320045659655","0.00700968088488800063"
2020,"Waste management","295715735","292556382","5188776832","0.05699141523610626544","0.01079912520930751735"
2021,"Waste management","380257653","295715735","5188776832","0.07328464208653019209","0.28588914282833140414"
2022,"Waste management","399572470","380257653","5188776832","0.07700706408026144995","0.05079402570235713310"
2023,"Waste management","396456099","399572470","5188776832","0.07640646569245242883","-0.00779926354786154311"
2024,"Waste management","499901900","396456099","5188776832","0.09634291783701827938","0.26092624444655094081"
2006,"Wastewater management","47397898",NULL,"2008476954","0.02359892549705601451",NULL
2007,"Wastewater management","46965280","47397898","2008476954","0.02338352944825474955","-0.00912736678744698763"
2008,"Wastewater management","58363218","46965280","2008476954","0.02905844544731579728","0.24268859889688723244"
2009,"Wastewater management","63457730","58363218","2008476954","0.03159495052886725829","0.08728977213011112581"
2010,"Wastewater management","89445060","63457730","2008476954","0.04453377462054762516","0.40952189748987239222"
2011,"Wastewater management","95085405","89445060","2008476954","0.04734204433395754064","0.06305932379049217475"
2012,"Wastewater management","108647550","95085405","2008476954","0.05409449671982644019","0.14263119560778018456"
2013,"Wastewater management","99498132","108647550","2008476954","0.04953909568234956208","-0.08421191273986389937"
2014,"Wastewater management","109267705","99498132","2008476954","0.05440326551040923719","0.09818850669477895324"
2015,"Wastewater management","124644958","109267705","2008476954","0.06205944148463453069","0.14073008122573819959"
2016,"Wastewater management","99622500","124644958","2008476954","0.04960101722929702085","-0.20074986105735620690"
2017,"Wastewater management","101861450","99622500","2008476954","0.05071576738639541293","0.02247434063590052448"
2018,"Wastewater management","108826877","101861450","2008476954","0.05418378178712226339","0.06838138471423683837"
2019,"Wastewater management","121699988","108826877","2008476954","0.06059317123735341601","0.11828981364594336379"
2020,"Wastewater management","130553230","121699988","2008476954","0.06500110929328592137","0.07274644924369261236"
2021,"Wastewater management","137704455","130553230","2008476954","0.06856163060559568661","0.05477631614323138539"
2022,"Wastewater management","146586581","137704455","2008476954","0.07298394970779435690","0.06450136998109465667"
2023,"Wastewater management","158793266","146586581","2008476954","0.07906153251285949284","0.08327286793052359956"
2024,"Wastewater management","160055671","158793266","2008476954","0.07969007096707767352","0.00794999077605721643"
