"year","type_of_non_investment_expense","total_expenses"
2006,"External non-investment costs","39022702"
2006,"Internal non-investment costs","40611503"
2006,"Unknown","163922032"
2007,"External non-investment costs","41793204"
2007,"Internal non-investment costs","56588369"
2007,"Unknown","198772441"
2008,"External non-investment costs","41733946"
2008,"Internal non-investment costs","60267707"
2008,"Unknown","205857728"
2009,"External non-investment costs","45330148"
2009,"Internal non-investment costs","51232162"
2009,"Unknown","194999412"
2010,"External non-investment costs","93025646"
2010,"Internal non-investment costs","120719367"
2010,"Unknown","213763512"
2011,"External non-investment costs","97720480"
2011,"Internal non-investment costs","138328853"
2011,"Unknown","236076970"
2012,"External non-investment costs","95089962"
2012,"Internal non-investment costs","130768544"
2012,"Unknown","225878815"
2013,"External non-investment costs","97137354"
2013,"Internal non-investment costs","128675055"
2013,"Unknown","225825722"
2014,"External non-investment costs","106517500"
2014,"Internal non-investment costs","133833283"
2014,"Unknown","240387064"
2015,"External non-investment costs","104922231"
2015,"Internal non-investment costs","119297448"
2015,"Unknown","224267387"
2016,"External non-investment costs","101574148"
2016,"Internal non-investment costs","126938973"
2016,"Unknown","228573849"
2017,"External non-investment costs","105236824"
2017,"Internal non-investment costs","139962754"
2017,"Unknown","245216386"
2018,"External non-investment costs","116691847"
2018,"Internal non-investment costs","151434210"
2018,"Unknown","268144879"
2019,"External non-investment costs","124745688"
2019,"Internal non-investment costs","157281834"
2019,"Unknown","282061706"
2020,"External non-investment costs","131988496"
2020,"Internal non-investment costs","152263568"
2020,"Unknown","284435009"
2021,"External non-investment costs","153259830"
2021,"Internal non-investment costs","193860025"
2021,"Unknown","347147927"
2022,"External non-investment costs","164124433"
2022,"Internal non-investment costs","201913586"
2022,"Unknown","366072435"
2023,"External non-investment costs","172637823"
2023,"Internal non-investment costs","201635384"
2023,"Unknown","374514089"
2024,"External non-investment costs","295645299"
2024,"Internal non-investment costs","307873887"
2024,"Unknown","402703571"
